#Mapping file for Veto PMT in WP Sphere and Bottom PMTs.
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20241223.
#A total of 2399 PMTs were actually installed in Sphere and 5 PMTs were installed in Bottom , more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F.
#CopyNo, SphereOrWall(0=Sphere 1=Wall), NorthOrSouth(0=North 1=South), LayerNo, WindowNo, PositionNo, PMTType(1=H 2=NVVT_1 3=NVVT_2 4=S), LargeOrSmall(0=Large 1=Small), GCU, Channel(0-2), X, Y, Z, Theta, Phi
50183,0,0,8,20,1,2,0,3025,0,6172.839,6855.684,18348.19,26.6926,48.0002
50184,0,0,8,20,2,2,0,3025,2,6922.472,7688.241,17733.84,30.2583,48.0002
50185,0,0,8,21,1,2,0,2419,0,4612.571,7989.276,18348.19,26.6926,60.0002
50186,0,0,8,21,2,2,0,2419,2,5172.724,8959.498,17733.84,30.2583,60.0002
50187,0,0,8,22,1,2,0,2347,0,2850.711,8773.699,18348.19,26.6926,72.0002
50188,0,0,8,22,2,2,0,2347,2,3196.903,9839.181,17733.84,30.2583,72.0002
50189,0,0,8,23,1,2,0,7611,0,964.2617,9174.668,18348.19,26.6926,84.0002
50190,0,0,8,23,2,2,0,7611,2,1081.362,10288.84,17733.84,30.2583,84.0002
50191,0,0,8,24,1,2,0,2880,0,-964.331,9174.661,18348.19,26.6926,96.0002
50192,0,0,8,24,2,2,0,2880,2,-1081.44,10288.84,17733.84,30.2583,96.0002
50193,0,0,8,25,1,2,0,1916,1,-3058.57,8766.088,18316.94,26.8792,109.2344
50194,0,0,8,25,2,2,0,2488,0,-3156.3,9714.084,17805.96,29.8398,108.0
50195,0,0,8,26,1,2,0,1083,0,-4612.63,7989.241,18348.19,26.6926,120.0002
50196,0,0,8,26,2,2,0,1083,2,-5172.79,8959.459,17733.84,30.2583,120.0002
50197,0,0,8,27,1,2,0,1056,0,-6172.89,6855.638,18348.19,26.6926,132.0002
50198,0,0,8,27,2,2,0,1056,2,-6922.53,7688.19,17733.84,30.2583,132.0002
50199,0,0,8,28,1,2,0,2710,0,-7463.37,5422.409,18348.19,26.6926,144.0002
50200,0,0,8,28,2,2,0,2710,2,-8369.72,6080.909,17733.84,30.2583,144.0002
50201,0,0,8,29,1,2,0,1196,0,-8427.65,3752.196,18348.19,26.6926,156.0002
50202,0,0,8,29,2,2,0,1196,2,-9451.11,4207.864,17733.84,30.2583,156.0002
50203,0,0,8,30,1,2,0,7071,0,-9023.62,1917.993,18348.19,26.6926,168.0002
50204,0,0,8,30,2,2,0,7071,2,-10119.4,2150.916,17733.84,30.2582,168.0002
50205,0,0,7,1,1,2,0,7187,1,-11561.1,200.0,16958.88,34.2868,179.0089
50206,0,0,7,1,2,2,0,7187,2,-12643.5,-0.0,16159.16,38.0409,-180.0
50207,0,0,7,2,1,2,0,3775,1,-11304.5,-2402.9,16961.85,34.2688,-167.9997
50208,0,0,7,2,2,2,0,1067,0,-12367.2,-2628.79,16159.16,38.0409,-167.9997
50209,0,0,7,3,1,2,0,3814,1,-10557.9,-4700.74,16961.85,34.2689,-155.9997
50210,0,0,7,3,2,2,0,0960,0,-11550.4,-5142.64,16159.16,38.0409,-155.9997
50211,0,0,7,4,1,2,0,1080,1,-9349.86,-6793.13,16961.85,34.2689,-143.9998
50212,0,0,7,4,2,2,0,0934,0,-10228.8,-7431.72,16159.16,38.0409,-143.9998
50213,0,0,7,5,1,2,0,1033,1,-7733.17,-8588.63,16961.85,34.2689,-131.9998
50214,0,0,7,5,2,2,0,2325,0,-8460.14,-9396.01,16159.16,38.041,-131.9998
50215,0,0,7,6,1,2,0,2546,1,-5778.51,-10008.8,16961.85,34.269,-119.9997
50216,0,0,7,6,2,2,0,2736,0,-6321.73,-10949.6,16159.16,38.0409,-119.9999
50217,0,0,7,7,1,2,0,2128,1,-3762.79,-10933.5,16958.88,34.2869,-108.991
50218,0,0,7,7,2,2,0,2128,2,-3907.07,-12024.7,16159.16,38.0409,-108.0
50219,0,0,7,8,1,2,0,7636,1,-1208.0,-11493.8,16961.85,34.2689,-95.9998
50220,0,0,7,8,2,2,0,7628,0,-1321.56,-12574.3,16159.16,38.041,-95.9998
50221,0,0,7,9,1,2,0,2256,1,1208.091,-11493.8,16961.85,34.2689,-83.9998
50222,0,0,7,9,2,2,0,7679,0,1321.659,-12574.3,16159.16,38.041,-83.9998
50223,0,0,7,10,1,2,0,2335,1,3571.383,-10991.4,16961.85,34.2688,-71.9997
50224,0,0,7,10,2,2,0,2311,0,3907.115,-12024.7,16159.16,38.041,-71.9998
50225,0,0,7,11,1,2,0,1306,1,5778.588,-10008.7,16961.85,34.2689,-59.9997
50226,0,0,7,11,2,2,0,2537,0,6321.812,-10949.6,16159.16,38.041,-59.9998
