#Mapping file for Large PMT in CD
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20250123.
#Have installed 17596 CD-LPMT, more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F
#CopyNo, LargeOrSmall(0=Large 1=Small), NorthOrSouth(0=North 1=South), CircleNo, PositionNo, UpOrDown(0=Up 1=Down), PMTType(1=H 2=NVVT_1 3=NVVT_2 4=S), GCU, Channel(0-2), X, Y, Z, Theta, Phi
185,0,0,56,41,0,2,5171,2,-3193.0,2464.235,19010.86,11.9782,142.3404
186,0,0,56,42,0,2,5171,0,-3492.96,2016.663,19010.86,11.9782,150.0
187,0,0,56,43,0,2,5345,1,-3730.59,1533.103,19010.86,11.9782,157.6596
188,0,0,56,44,0,2,5345,2,-3919.25,952.4803,19010.86,11.9782,166.3404
189,0,0,56,45,0,2,5345,0,-4011.23,421.5973,19010.86,11.9782,174.0
190,0,0,55,1,0,2,2952,0,-4535.15,-404.3,18893.1,13.5496,-174.9057
191,0,0,55,2,0,1,3116,2,-4455.5,-937.849,18893.1,13.5496,-168.1132
192,0,0,55,3,0,2,3116,1,-4313.31,-1458.23,18893.1,13.5496,-161.3208
193,0,0,55,4,0,2,3116,0,-4110.56,-1958.15,18893.1,13.5496,-154.5282
194,0,0,55,5,0,2,6165,0,-3850.12,-2430.57,18893.1,13.5496,-147.7359
195,0,0,55,6,0,2,6165,1,-3535.62,-2868.88,18893.1,13.5496,-140.9434
196,0,0,55,7,0,2,6165,2,-3171.49,-3266.91,18893.1,13.5496,-134.1509
197,0,0,55,8,0,2,6399,2,-2762.84,-3619.08,18893.1,13.5496,-127.3585
198,0,0,55,9,0,1,6399,1,-2315.41,-3920.45,18893.1,13.5496,-120.566
199,0,0,55,10,0,2,6399,0,-1835.48,-4166.78,18893.1,13.5496,-113.7736
200,0,0,55,11,0,1,5087,2,-1329.77,-4354.63,18893.1,13.5496,-106.9811
201,0,0,55,12,0,2,5087,1,-805.406,-4481.34,18893.1,13.5496,-100.1887
202,0,0,55,13,0,2,5087,0,-269.731,-4545.14,18893.1,13.5496,-93.3962
203,0,0,55,14,0,2,5868,0,269.7306,-4545.14,18893.1,13.5496,-86.6038
